iter	RMSE
0	0.1292564671
1	0.127698517
2	0.1258456005
3	0.1240024193
4	0.1222581017
5	0.1185632361
6	0.1169125739
7	0.1153048969
8	0.1137782345
9	0.1123292639
10	0.1108863162
11	0.1094946934
12	0.1059421661
13	0.1046270299
14	0.1033777908
15	0.102184681
16	0.1010382408
17	0.09987792641
18	0.09672776329
19	0.09435528949
20	0.09335849471
21	0.09070101658
22	0.08976115577
23	0.08886204892
24	0.08795431207
25	0.08711095927
26	0.0863135623
27	0.08551276973
28	0.08475986362
29	0.08301447743
30	0.08232120043
31	0.08034016204
32	0.07960532227
33	0.07808871516
34	0.07748016149
35	0.07586402381
36	0.07527880429
37	0.07383610302
38	0.07331493794
39	0.0728115082
40	0.07230621064
41	0.0718542807
42	0.07071246788
43	0.07026826
44	0.06931578659
45	0.06826235865
46	0.06788699181
47	0.06760146216
48	0.0672293487
49	0.06687630741
50	0.06656332107
51	0.06582845494
52	0.06527587865
53	0.06493877256
54	0.06464741039
55	0.06439522692
56	0.06415482765
57	0.06361048604
58	0.06306479423
59	0.06242992783
60	0.06216430105
61	0.06194622757
62	0.06175007566
63	0.06130144117
64	0.06084049312
65	0.06064648611
66	0.06046547211
67	0.06030380084
68	0.05987554142
69	0.05972039511
70	0.0595521929
71	0.05917580962
72	0.05906642841
73	0.05891378698
74	0.05876664905
75	0.0586344291
76	0.05849592832
77	0.05837929144
78	0.05799522348
79	0.05786802349
80	0.05748545372
81	0.05736988539
82	0.05699524594
83	0.05690433643
84	0.05681716022
85	0.05672789147
86	0.05649496738
87	0.05640119868
88	0.05632459982
89	0.05594571227
90	0.05586620473
91	0.05579302931
92	0.05549501643
93	0.05543185474
94	0.05516888789
95	0.05511369391
96	0.05504665431
97	0.05485975328
98	0.05460146788
99	0.05452870538
100	0.05437144184
101	0.05415701438
102	0.05409680334
103	0.05382950158
104	0.0537541062
105	0.05368097022
106	0.0534928635
107	0.05345893562
108	0.05318927436
109	0.05303963602
110	0.05298446807
111	0.05273940496
112	0.05257377436
113	0.0524301312
114	0.05233182795
115	0.05214651686
116	0.05210928723
117	0.05207548703
118	0.05203801778
119	0.05199948683
120	0.05188036562
121	0.05174756404
122	0.05170489637
123	0.05145330153
124	0.05133074007
125	0.05120975394
126	0.05117555336
127	0.05101175753
128	0.05093506625
129	0.05083883748
130	0.05077237535
131	0.05069774989
132	0.05058573508
133	0.05041956283
134	0.05031716476
135	0.05006320541
136	0.04998814552
137	0.04977652613
138	0.0496503235
139	0.04951879137
140	0.0494033953
141	0.04929547927
142	0.04918568071
143	0.049023911
144	0.04895410242
145	0.04890413975
146	0.04868814466
147	0.04857195153
148	0.04841210732
149	0.0482650363
150	0.04810606582
151	0.04801007824
152	0.047975073
153	0.04778520875
154	0.04756032727
155	0.04749014575
156	0.04730310985
157	0.04719663317
158	0.04708830746
159	0.04695587665
160	0.0467945618
161	0.0466634883
162	0.04654458588
163	0.04648734254
164	0.04644409643
165	0.04636121292
166	0.04620417191
167	0.04608398649
168	0.04597245267
169	0.04586524583
170	0.04572320272
171	0.04568782647
172	0.04556063613
173	0.04542850297
174	0.04535047988
175	0.04529759925
176	0.04527689816
177	0.04513406077
178	0.04502485166
179	0.04485567036
180	0.04481568718
181	0.04476196201
182	0.04466266671
183	0.04450371015
184	0.04442149563
185	0.04430749229
186	0.04422113011
187	0.04417006783
188	0.04405686073
189	0.04399094381
190	0.0439310943
191	0.04381429452
192	0.04375292077
193	0.0436988676
194	0.04357390925
195	0.04351259101
196	0.0433901164
197	0.04336719559
198	0.04323514849
199	0.04316260409
